id,name,company_name_cleaned
298,SERENITY IN LEADERSHIP LTD,Serenity In Leadership
299,PURPLE BRIDGE MEDIA LIMITED,Purple Bridge Media
300,PAUL RAVENSCROFT LIMITED,Paul Ravenscroft
301,DETALLADO DESIGN LIMITED,Detallado Design
302,MOBEA MEDIA LIMITED,Mobea Media
303,MS CHO STUDIO LIMITED,Ms Cho Studio
304,WIGHT EVENT TOILETS LIMITED,Wight Event Toilets
305,OAKLEY DAY NURSERY LIMITED,Oakley Day Nursery
306,C & K CARPENTRY LTD,C & K Carpentry
307,OLDMOOR FARM RIDING SCHOOL LIMITED,Oldmoor Farm Riding School
308,TRANSPOSE LIMITED,Transpose
309,ELEGANCE CONSULTANCY SERVICES LTD,Elegance Consultancy Services
310,DALE FLEET LOGISTICS LIMITED,Dale Fleet Logistics
311,SPIDERHOUSE PRODUCTIONS LIMITED,Spiderhouse Productions
312,THINK BYTE LIMITED,Think Byte
313,LABORATOIRE BIOSTHETIQUE UK LIMITED,Laboratoire Biosthetique
314,PALMER ESTATES LTD,Palmer Estates
315,WREXHAM RUGBY UNION FOOTBALL CLUB LIMITED,Wrexham Rugby Union Football Club
316,NATIONAL FRANCHISED DEALERS ASSOCIATION LIMITED,National Franchised Dealers Association
317,NIMROD TRAINING & ASSESSMENTS LTD,Nimrod Training & Assessments
318,FINANCIAL INVESTORS GROUP LIMITED,Financial Investors Group
319,STERLING BIO-PHARMA LTD,Sterling Bio-Pharma
320,NARRATIVE MEDIA LIMITED,Narrative Media
321,ESPANA IMPORTS LTD,Espana Imports
322,SURFVAULT LTD,Surfvault
323,CPR (MIDLANDS) LIMITED,Cpr
324,NORTHERN EXPERIENCE WILDLIFE TOURS LTD,Northern Experience Wildlife Tours
325,TELFORD-COURIERS LTD,Telford-Couriers
326,WHITE ROSE GOLF BREAKS LIMITED,White Rose Golf Breaks
327,KLAATU IT SECURITY LIMITED,Klaatu It Security
328,PREMIER NORTH LTD,Premier North
329,R NORTHWOOD CONSULTANCY LIMITED,R Northwood Consultancy
330,DAVID DANCY DIGITAL DESIGN LIMITED,David Dancy Digital Design
331,HAPPY PANDA CONSULTANCY LTD,Happy Panda Consultancy
332,ANNE ROBERTS OXTON LIMITED,Anne Roberts Oxton
333,BES CONSTRUCTION (UK) LTD,Bes Construction
334,DIGITECH COMMERCIAL LIMITED,Digitech Commercial
335,THE PROFESSIONALISM GROUP ASSOCIATES LIMITED,The Professionalism Group Associates
336,MCNABB ROUGIER & CO. LIMITED,Mcnabb Rougier
337,WANNABE CREATIVE LIMITED,Wannabe Creative
338,NU-OPENINGS LIMITED,Nu-Openings
339,MORGAN EDWARDS ASSOCIATES LTD,Morgan Edwards Associates
340,SURREY FINE ARTS LIMITED,Surrey Fine Arts
341,DORKING TOWN PARTNERSHIP LIMITED,Dorking Town Partnership
342,RLH CONSTRUCTION LTD,Rlh Construction
343,PHREATIC ZONE LTD,Phreatic Zone
344,PROPERTY MAINTENANCE SERVICES SW LIMITED,Property Maintenance Services Sw
345,WHITE & WILLIAMS JOINERY & BUILDING CONTRACTORS LTD,White & Williams Joinery & Building Contractors
346,ALLGLASS INSTALLATIONS LIMITED,Allglass Installations
347,E-VOLVE CONSTRUCTION GROUP LTD,E-Volve Construction Group
348,MARCHHARVEY LTD,Marchharvey
349,CORALBAY.TV LTD,Coralbay.Tv
350,SUPPLEMENTS SANCTUARY LAB LIMITED,Supplements Sanctuary Lab
351,DOCUBOX LIMITED,Docubox
352,MEDILINK RECRUITMENT LIFE SCIENCES UK LTD,Medilink Recruitment Life Sciences
353,SAECO UK LIMITED,Saeco
354,MASLIN JONES LTD,Maslin Jones
355,ALICIA BERKELEY LTD,Alicia Berkeley
356,DESIGNER IP LTD,Designer Ip
357,MY FRAGRANCE BOUTIQUE LIMITED,My Fragrance Boutique
358,NORTH CADBURY VILLAGE STORES LTD,North Cadbury Village Stores
359,MONARCHY DEVELOPMENTS LTD,Monarchy Developments
360,NICHOLSON-HARRIS BLACKSMITH & METAL WORKERS LTD,Nicholson-Harris Blacksmith & Metal Workers
361,OFFICE ORGANISER LIMITED,Office Organiser
362,MA DESIGN ENGINEERING LTD,Ma Design Engineering
363,MIDLAND REMAPS LIMITED,Midland Remaps
364,NUTRASTEWARD LIMITED,Nutrasteward
365,ATHALENS LTD,Athalens
366,MYSYNET LTD,Mysynet
367,NATIONAL MEDICALS LIMITED,National Medicals
368,GRAND CONSULTANCY (LONDON) LIMITED,Grand Consultancy
369,GSV SPORTS MANAGEMENT LTD,Gsv Sports Management
370,CHURCHILLS AUSTRALIAN LABRADOODLES LTD.,Churchills Australian Labradoodles
371,JOEALLENPRO LIMITED,Joeallenpro
372,SUSSEX STONEWORKS LTD,Sussex Stoneworks
373,TOWER SPORT LTD,Tower Sport
374,PJ RHODES CONSULTANCY LIMITED,Pj Rhodes Consultancy
375,THE NORTHERN PREMIER FOOTBALL LEAGUE LIMITED,The Northern Premier Football League
376,MADE IN LUDLOW LTD,Made In Ludlow
377,TYRAS ACCOUNTING SERVICES LTD,Tyras Accounting Services
378,ZARZA CONSULTING AND SERVICES LIMITED,Zarza Consulting And Services
379,THE CORE ASSET MONEY LIMITED,The Core Asset Money
380,ROHALLION LIMITED,Rohallion
381,VISUAL CORTEX LAB LTD,Visual Cortex Lab
382,22NORTH LTD,22North
383,J A CORNISH LIMITED,J A Cornish
384,ISP INTERNATIONAL SPACE PROPULSION LTD,Isp International Space Propulsion
385,C B FROST HOLDINGS LIMITED,C B Frost Holdings
386,CYRIL SMITH (HOLDINGS) LIMITED,Cyril Smith
387,LOW-IMPACT LIVING INITIATIVE,Low-Impact Living Initiative
388,ACCOUNTING RELIEF LTD,Accounting Relief
389,AERIALPROP LIMITED,Aerialprop
390,GRACECHURCH UTG NO. 344 LIMITED,Gracechurch Utg No. 344
391,A & C ENTERPRISE CLEANING & MAINTENANCE LIMITED,A & C Enterprise Cleaning & Maintenance
392,GRACECHURCH UTG NO. 2 LIMITED,Gracechurch Utg No. 2
393,ALONA READING LIMITED,Alona Reading
394,PURPLE JELLYFISH LTD,Purple Jellyfish
395,ADRIATIC METALS PLC,Adriatic Metals
396,SEABO LOGISTICS LIMITED,Seabo Logistics
397,AL-QASIM,Al-Qasim
398,ALEXANDER'S CARPENTRY LTD,Alexander'S Carpentry
399,ACT ON DYSLEXIA LTD,Act On Dyslexia
400,CLIENTLOGIC (UK) LIMITED,Clientlogic
401,EDEN 2018 LIMITED,Eden 2018
402,ALBANY RISK LIMITED,Albany Risk
403,AFRICAN PRIVATE JOURNEYS LIMITED,African Private Journeys
404,CURO LIMITED,Curo
405,24:7 SECURITY MANCHESTER LIMITED,24:7 Security Manchester
406,CAPITAL RESPONSE LIMITED,Capital Response
407,NICHE TAX LIMITED,Niche Tax
408,TAX LOGIC (LONDON) LTD,Tax Logic
409,JACOBS INVESTMENTS LIMITED,Jacobs Investments
410,KEERANBEG WIND LTD,Keeranbeg Wind
411,AMETHYST LEASING (HOLDINGS) LIMITED,Amethyst Leasing
412,OSBOURNE DEVELOPMENTS LIMITED,Osbourne Developments
413,BLOOMFIELD SPECSAVERS LIMITED,Bloomfield Specsavers
414,BOYD & COMPANY LIMITED,Boyd
415,OBAN CARAVAN & CAMPING PARK LIMITED,Oban Caravan & Camping Park
416,BLAST OFF MARKETING LTD,Blast Off Marketing
417,AFA FIRE & SECURITY LIMITED,Afa Fire & Security
418,J.G. RAE LIMITED,J.G. Rae
419,SUPASEAL GLASS LIMITED,Supaseal Glass
420,CALEDONIAN BREWERY LIMITED,Caledonian Brewery
421,MCCURRACH U.K. BROKERS LIMITED,Mccurrach U.K. Brokers
422,SYSTEMATIC DAISIES LIMITED,Systematic Daisies
423,ATTIRE CLOTHING LIMITED,Attire Clothing
424,REMOTELY DIGITAL LTD,Remotely Digital
425,HUDSON INDUSTRIAL SERVICES LIMITED,Hudson Industrial Services
426,CLASSIC KITCHENS LIMITED,Classic Kitchens
427,KRISTEL LIMITED,Kristel
428,ROBOT LOVES YOU LIMITED,Robot Loves You
429,ISOPLAN INTERNATIONAL LIMITED,Isoplan International
430,SPORTWISE MARKETING LIMITED,Sportwise Marketing
431,AJS WINDOW INSTALLATIONS LIMITED,Ajs Window Installations
432,RIVERSIDE MUSLIM ASSOCIATION LTD,Riverside Muslim Association
433,MAIDENHEAD PODIATRY LIMITED,Maidenhead Podiatry
434,SCARLETT DYER LIMITED,Scarlett Dyer
435,CARE PLUS HOMECARE SERVICES LTD,Care Plus Homecare Services
436,NELSON & RUSSELL LIMITED,Nelson & Russell
437,LITECRETE LIMITED,Litecrete
438,AGAPE TABERNACLE MINISTRIES,Agape Tabernacle Ministries
439,PRW ENERGY CONSULTING LTD,Prw Energy Consulting
440,ALL CULTURES ONE VOICE (ACOV),All Cultures One Voice
441,REVOLGY UK LTD,Revolgy
442,DICKY DONUTS LIMITED,Dicky Donuts
443,ABOVE & BEYOND EVENT MANAGEMENT LIMITED,Above & Beyond Event Management
444,AFRICABOUND ADVENTURES LIMITED,Africabound Adventures
445,AIMTARGET LIMITED,Aimtarget
446,TYLER AERONAUTICA LTD,Tyler Aeronautica
447,ROMPSKI LIMITED,Rompski
448,ALL ABOUT SUCCESS LTD.,All About Success
449,HICKMANS LEGAL COSTING SERVICES LIMITED,Hickmans Legal Costing Services
450,AA MOTORS (UK) LIMITED,Aa Motors
451,ALPHA SPECIALISTS LIMITED,Alpha Specialists
452,ABRA MOT CENTRE LIMITED,Abra Mot Centre
453,CIRCA RESIDENTIAL PROPERTY LIMITED,Circa Residential Property
454,FOOTPRINT IMPRESSION MANAGEMENT LIMITED,Footprint Impression Management
455,ADVATECH UK LIMITED,Advatech
456,FOUR SEASONS HEALTH CARE PROPERTIES (CARE HOMES) LIMITED,Four Seasons Health Care Properties
457,AJW (YORKSHIRE) LIMITED,Ajw
458,WHITE OF HAWICK LIMITED,White Of Hawick
459,JRB GROUP LIMITED,Jrb Group
460,BARBER ACCOUNTANCY LIMITED,Barber Accountancy
461,COMPASS FINANCIAL RECOVERY & INSOLVENCY LIMITED,Compass Financial Recovery & Insolvency
462,E-LEARNING DEVELOPMENTS LIMITED,E-Learning Developments
463,GATEWAY STORAGE COMPANY LIMITED,Gateway Storage
464,CENTRAX HOLDINGS LIMITED,Centrax Holdings
465,KARLSSON-KEMP LIMITED,Karlsson-Kemp
466,ADMIRAL RESIDENTIAL PROPERTY MANAGEMENT LTD.,Admiral Residential Property Management
