id,name,company_name_cleaned
16581,NEWTON ENGINEERING GROUP LIMITED,Newton Engineering Group
16582,SUGARFIX LTD,Sugarfix
16583,CREDIT AGRICOLE S.A.,Credit Agricole
16584,SPLASH WWR LLP,Splash Wwr
16585,BANNATYNE FITNESS (8) LIMITED,Bannatyne Fitness
16586,PRL PLANT LLP,Prl Plant
16587,GEOSPATIAL SURVEYS LIMITED,Geospatial Surveys
16588,DE BEERS JEWELLERS TRADE MARK LIMITED,De Beers Jewellers Trade Mark
16589,MICROGRAPHICS UK LIMITED,Micrographics
16590,MANCHESTER TECHNOPARK LIMITED,Manchester Technopark
16591,SUPER SKY LIMITED,Super Sky
16592,MICRO WEIGHING SYSTEMS LIMITED,Micro Weighing Systems
16593,SHIPLEY PAINT LIMITED,Shipley Paint
16594,CITROEN WELLS LIMITED,Citroen Wells
16595,DIRECT HOSPITALITY (UK) LTD,Direct Hospitality
16596,MASHAM MICRONIZED FEEDS LIMITED,Masham Micronized Feeds
16597,CASKET GROUP PENSION TRUSTEE LIMITED,Casket Group Pension Trustee
16598,GPS REALISATIONS LIMITED,Gps Realisations
16599,DOWISE CONSTRUCTION TECHNOLOGY UK LIMITED,Dowise Construction Technology
16600,CH NOMINEES (TWO) LIMITED,Ch Nominees
16601,VACU-BLAST INTERNATIONAL LIMITED,Vacu-Blast International
16602,ELFY APPS LIMITED,Elfy Apps
16603,ADAM SMITH SCHOOL OF BUSINESS AND MANAGEMENT LIMITED,Adam Smith School Of Business And Management
16604,PARADIGM INVESTMENTS LIMITED,Paradigm Investments
16605,MIDDLETON & UPSALL LLP,Middleton & Upsall
16606,CFM VENTURES LIMITED,Cfm Ventures
16607,REX PROCTER & PARTNERS LLP,Rex Procter & Partners
16608,SUCCESS RECIPE LTD,Success Recipe
16609,CALLISTO ASSOCIATES LIMITED,Callisto Associates
16610,RESPONSIVE INDUSTRIAL SERVICES LTD,Responsive Industrial Services
16611,ALLWOOD ENGINEERING LLP,Allwood Engineering
16612,ORBIT CONSTRUCTION (CARDIFF) LLP,Orbit Construction
16613,MAYER BROWN INTERNATIONAL LLP,Mayer Brown International
16614,INTERNATIONAL BOND MARKET ASSOCIATION (UK) LIMITED,International Bond Market Association
16615,GATELEY HERITAGE LLP,Gateley Heritage
16616,MOLSON COORS (UK) HOLDINGS LLP,Molson Coors Holdings
16617,LOVELLE BACONS LLP,Lovelle Bacons
16618,WYKEHAM HOUSE LIMITED,Wykeham House
16619,REED SMITH LLP,Reed Smith
16620,SUNTORY ALLIANCE BRANDS LIMITED,Suntory Alliance Brands
16621,BRIGHT GREEN HOMES LLP,Bright Green Homes
16622,SEDDON ESTATE AGENTS LLP,Seddon Estate Agents
16623,ELWELL WATCHORN & SAXTON LLP,Elwell Watchorn & Saxton
16624,HELEN BLIGH CONSULTING LIMITED,Helen Bligh Consulting
16625,FELLOWES SOLICITORS LLP,Fellowes Solicitors
16626,LEONIDAS CONSULTING (UK) LLP,Leonidas Consulting
16627,SPAIN BROTHERS & CO LLP,Spain Brothers
16628,GOLDEN LEAVER LLP,Golden Leaver
16629,TAYLOR WESSING LIMITED LIABILITY PARTNERSHIP,Taylor Wessing Limited Liability Partnership
16630,BED-DOWN LLP,Bed-Down
16631,ELLIAM LIMITED,Elliam
16632,ROBERT BOGGIS LTD,Robert Boggis
16633,HONLEY MOTO LIMITED,Honley Moto
16634,JUBILEE HIRE (2001) LIMITED,Jubilee Hire
16635,KINGSTON DRYWALL (NORTH EAST) LIMITED,Kingston Drywall
16636,POWERGRID (SOUTH) LIMITED,Powergrid
16637,L.D.C. (SPV NO.1) LIMITED,L.D.C.
16638,INSPIRATION MARINE LIMITED,Inspiration Marine
16639,PARK LANE (ABRAM) MANAGEMENT LIMITED,Park Lane Management
16640,BUSINESS VITAMINS LIMITED,Business Vitamins
16641,THE ARCHDUKE RESTAURANT LLP,The Archduke Restaurant
16642,LDT ELECTRICAL LTD,Ldt Electrical
16643,TOKENMARCH LIMITED,Tokenmarch
16644,KURT MULLER LIMITED,Kurt Muller
16645,NWF4B DIRECTORS LIMITED,Nwf4B Directors
16646,THE CHEESECAKE SHOP LIMITED,The Cheesecake Shop
16647,THP ACCOUNTANCY LIMITED,Thp Accountancy
16648,PEEK-A-BOO 3-D 4-D BABY SCANNING LTD,Peek-A-Boo 3-D 4-D Baby Scanning
16649,LOOSEN UP LTD,Loosen Up
16650,UNDERWOOD LAMB & CO LIMITED,Underwood Lamb
16651,RELYON CLEANING SERVICES LTD,Relyon Cleaning Services
16652,LTD123 LIMITED,Ltd123
16653,J S ENGINEERING LIMITED,J S Engineering
16654,THE RAP FOUNDATION,The Rap Foundation
16655,BRITISH DREDGING LIMITED,British Dredging
16656,IVY HOUSE SERVICES LIMITED,Ivy House Services
16657,SPHERE CONSULTING LTD,Sphere Consulting
16658,VELOCITY ACQUISITIONS LIMITED,Velocity Acquisitions
16659,LORD STREET CONSULTING LTD,Lord Street Consulting
16660,THISTLEWOOD LEISURE LIMITED,Thistlewood Leisure
16661,BDS ARCHITECTURE & INTERIOR DESIGN LIMITED,Bds Architecture & Interior Design
16662,INFORMATION DIRECTORY LIMITED,Information Directory
16663,3 ANGLESEA TERRACE MANAGEMENT CO. LIMITED,3 Anglesea Terrace Management
16664,WATSON BRADY LLP,Watson Brady
16665,SIMS ESTATES LIMITED,Sims Estates
16666,GOODHEWS B. & S. LIMITED,Goodhews B. & S.
16667,ABBEY GLASS LIMITED,Abbey Glass
16668,GRACELAND FIXING LIMITED,Graceland Fixing
16669,OM COMPUTERS LTD,Om Computers
16670,KEYFLOW (UK) LTD,Keyflow
16671,GDW PROPERTIES LIMITED,Gdw Properties
16672,BABY STEPS TO PARENTING LIMITED,Baby Steps To Parenting
16673,DEVICE HOSPITAL LIMITED,Device Hospital
16674,BLUEPRINT INITIATIVES LIMITED,Blueprint Initiatives
16675,COMFORT CONSULTING SOLUTIONS LIMITED,Comfort Consulting Solutions
16676,THEATRE SOUTH,Theatre South
16677,KUSTODIS LIMITED,Kustodis
16678,ENERGY WORKPLACE LIMITED,Energy Workplace
16679,CORNISH HOLIDAY ESCAPES LIMITED,Cornish Holiday Escapes
16680,HOMECARE WINDOWS LTD,Homecare Windows
16681,COVETRUS ANIMAL HEALTH HOLDINGS LIMITED,Covetrus Animal Health Holdings
16682,CONSULTANT MEDICAL LIMITED,Consultant Medical
16683,DUNCHURCH COMPLIANCE SOLUTIONS LIMITED,Dunchurch Compliance Solutions
16684,B & S DECORATORS LIMITED,B & S Decorators
16685,CHRYSALIS NOT FOR PROFIT LIMITED,Chrysalis Not For Profit
16686,CREST MOTORSPORT LIMITED,Crest Motorsport
16687,HARDUS HOON INTERIOR DESIGN LIMITED,Hardus Hoon Interior Design
16688,DEVARIT LIMITED,Devarit
16689,FONE-PARTS LIMITED,Fone-Parts
16690,CAROLANS CLEANING SERVICES LIMITED,Carolans Cleaning Services
16691,CATERING TRADER LIMITED,Catering Trader
16692,EXCEED ALL EXPECTATIONS LIMITED,Exceed All Expectations
16693,COMBESGATE LIMITED,Combesgate
16694,BEN THOMAS LIMITED,Ben Thomas
16695,CARE-IN-WALES LTD,Care-In-Wales
16696,BRINDLEY ASPHALT ROOFING LIMITED,Brindley Asphalt Roofing
16697,BC SOLENT LTD.,Bc Solent
16698,DAMP & TIMBER TECH LIMITED,Damp & Timber Tech
16699,DKB CRANE SOLUTIONS LTD,Dkb Crane Solutions
16700,LIBERTY DRILLING EQUIPMENT UK LTD,Liberty Drilling Equipment
16701,CLIMB MOUNT KILIMANJARO LIMITED,Climb Mount Kilimanjaro
16702,NUCON LIMITED,Nucon
16703,KINDERSITE LTD,Kindersite
16704,BATHROOM MANUFACTURERS ASSOCIATION,Bathroom Manufacturers Association
16705,ETCH SQUARED LIMITED,Etch Squared
16706,LONDON VILLA LTD,London Villa
16707,BLUSH TANNING & BEAUTY SALON LTD,Blush Tanning & Beauty Salon
16708,LANSDOWNE HOLDINGS (UK) LIMITED,Lansdowne Holdings
16709,AUTO-TECH ENTERPRISES LIMITED,Auto-Tech Enterprises
16710,CUBE3 SOLUTIONS LIMITED,Cube3 Solutions
16711,BIOC LTD,Bioc
16712,INKERMAN (GROUP) LIMITED,Inkerman
16713,NORTHWOOD DULWICH LIMITED,Northwood Dulwich
16714,PACKPOST INTERNATIONAL LTD.,Packpost International
16715,JOHN D. HILL ELECTRICAL LIMITED,John D. Hill Electrical
16716,BOWCOTT LIMITED,Bowcott
16717,HARDCASTLE BLAKE (LB) LIMITED,Hardcastle Blake
16718,J.E.T 2000 LIMITED,J.E.T 2000
16719,HARKERS ASSOCIATES LIMITED,Harkers Associates
16720,THE NATIONAL GAS MUSEUM TRUST,The National Gas Museum Trust
16721,ZEUS TRADING LIMITED,Zeus Trading
16722,SR AUTO SERVICES LIMITED,Sr Auto Services
16723,THE REDEEMED CHRISTIAN CHURCH OF GOD STILLWATERS - AMAZING GRACE,The Redeemed Christian Church Of God Stillwaters - Amazing Grace
16724,SCP (UK) HOLDINGS LIMITED,Scp Holdings
16725,SAMSON BUILDERS LTD,Samson Builders
16726,MAINSTEM PRODUCTIONS LIMITED,Mainstem Productions
16727,MIDAL CABLES INTERNATIONAL LTD.,Midal Cables International
16728,DIRECT LINE COMMUNICATIONS LIMITED,Direct Line Communications
16729,THREE60 LIMITED,Three60
16730,DIRECT SURGERIES LIMITED,Direct Surgeries
16731,WEBBER GROUP LONDON LTD,Webber Group London
16732,AIR ATLANTA AVIASERVICES LIMITED,Air Atlanta Aviaservices
16733,LENDLEASE PFI/PPP INFRASTRUCTURE FUND INVESTOR LIMITED,Lendlease Pfi/Ppp Infrastructure Fund Investor
16734,SOUTH WEST HEATING AND PLUMBING CONTRACTORS LIMITED,South West Heating And Plumbing Contractors
16735,SLICS TECHNOLOGIES LTD,Slics Technologies
16736,KRANE ENGINEERING LIMITED,Krane Engineering
16737,COUGHTRIE INTERNATIONAL LIMITED,Coughtrie International
16738,TRIDENT EUROPE LIMITED,Trident Europe
16739,I O COMPONENTS LIMITED,I O Components
16740,ANGALURI SOLUTIONS LIMITED,Angaluri Solutions
16741,INSIGHT STUDIOS LIMITED,Insight Studios
16742,SHELLARDS LIMITED,Shellards
16743,APRE SURFACING LIMITED,Apre Surfacing
16744,PREMIER PRESERVATIONS (BRADFORD) LIMITED,Premier Preservations
16745,DIAMOND SMILES DENTAL CENTRE LIMITED,Diamond Smiles Dental Centre
16746,LIFTPLAN CRANE SERVICES LTD,Liftplan Crane Services
16747,JOSEPH CONSULTING LIMITED,Joseph Consulting
16748,GPLM HOLDINGS LIMITED,Gplm Holdings
16749,FACEBANX LTD,Facebanx
16750,CAROUSELWEB LIMITED,Carouselweb
16751,LUKEN BECK MDP LIMITED,Luken Beck Mdp
16752,DIRECT CONCRETE REMEDIALS LTD,Direct Concrete Remedials
16753,INTERACTIVE OPPORTUNITIES LTD,Interactive Opportunities
16754,CROVETTI ASSOCIATES LIMITED,Crovetti Associates
16755,HIGH BRIDGE BUSINESS SOLUTIONS LTD,High Bridge Business Solutions
16756,JAMPUR UK LIMITED,Jampur
16757,JPTO LTD,Jpto
16758,BC BOOKKEEPING LIMITED,Bc Bookkeeping
16759,EREVENA LIMITED,Erevena
16760,LOCKSPIN (UK) LTD,Lockspin
16761,CHOUDRY ASSOCIATES LIMITED,Choudry Associates
16762,KNOWLEDGE TRANSFER INITIATIVE LIMITED,Knowledge Transfer Initiative
16763,LIFESTYLE CARPETS LTD,Lifestyle Carpets
16764,FC BUSINESS SOLUTIONS LTD,Fc Business Solutions
16765,AUTO INNOVATIONS (SUDBURY) LIMITED,Auto Innovations
16766,GOES HERE LIMITED,Goes Here
16767,DANCE EXPRESSIONS LIMITED,Dance Expressions
16768,BUTT LANE HEALTHCARE LIMITED,Butt Lane Healthcare
16769,DIPLOMATS OF SOUND CIC,Diplomats Of Sound
16770,DEZYRE LTD,Dezyre
16771,INGLEBY (1863) LIMITED,Ingleby
16772,BEDTIME CHRISTCHURCH LIMITED,Bedtime Christchurch
16773,ELITE CLEANING (SW) LTD,Elite Cleaning
16774,BELYN FINANCIAL SERVICES LIMITED,Belyn Financial Services
16775,B HOY LIMITED,B Hoy
16776,HITECSA SALES & SERVICE LIMITED,Hitecsa Sales & Service
16777,OBJECT & LINE LTD,Object & Line
16778,BEAUTIFUL HOMES (TEAN) LIMITED,Beautiful Homes
16779,ATEX GLOBAL LIMITED,Atex Global
16780,BRAEMAR CASTLE LIMITED,Braemar Castle
16781,DENNINGS SOLICITORS LIMITED,Dennings Solicitors
16782,DCP (NORTHERN) LIMITED,Dcp
16783,PRECISION ACQUISITIONS DIRECT LIMITED,Precision Acquisitions Direct
16784,TENCO LTD.,Tenco
16785,ABILIA LTD,Abilia
16786,TUNED IN CARE GROUP LTD,Tuned In Care Group
16787,REBOOT THAT LTD,Reboot That
16788,SACRED SPRINGS WATER COMPANY LIMITED,Sacred Springs Water
16789,REACT PROPERTY MAINTENANCE LTD,React Property Maintenance
16790,HOLMWOOD (BUILDERS) LIMITED,Holmwood
16791,BRANDING SOLUTIONS LIMITED,Branding Solutions
16792,SOUTH WEST BOOKKEEPING CO LIMITED,South West Bookkeeping
16793,FALCON FIRE LIMITED,Falcon Fire
16794,SC IT SOLUTIONS LTD,Sc It Solutions
16795,BROWNS TRIMMING LTD,Browns Trimming
16796,HELPFULCROWD LIMITED,Helpfulcrowd
16797,TORRS CONSULTING LIMITED,Torrs Consulting
16798,ZIPO LIMITED,Zipo
16799,RBP MARINE LTD,Rbp Marine
16800,ORBIS TECH LIMITED,Orbis Tech
16801,EVARA PARTNERS LIMITED,Evara Partners
16802,C.E. NIEHOFF & CO. LIMITED,C.E. Niehoff
16803,NORTH EASTERN DERBYSHIRE BUSINESS DEVELOPMENTS LIMITED,North Eastern Derbyshire Business Developments
16804,CUSTOM CABLE COMPANY (DATA & VOICE) LIMITED,Custom Cable
16805,COMMERZBANK LEASING DECEMBER (12) LIMITED,Commerzbank Leasing December
16806,OCMIS (HOLDINGS) LIMITED,Ocmis
16807,MIDLAND EXCAVATOR HIRE LIMITED,Midland Excavator Hire
16808,BIRA PUBLISHING LIMITED,Bira Publishing
16809,NIGEL MOOR & ASSOCIATES PUBLIC LIMITED COMPANY,Nigel Moor & Associates Public
16810,SANDICLIFFE (CONTRACT HIRE AND LEASING) LIMITED,Sandicliffe
16811,BELL & ROSS LIMITED,Bell & Ross
16812,SOUTH LONDON IRISH ASSOCIATION (HOLDINGS) LIMITED,South London Irish Association
16813,MORTON - FAIRVIEW ELECTRICAL SERVICES LIMITED,Morton - Fairview Electrical Services
16814,ANDITEC LIMITED,Anditec
16815,MAPS FINANCIAL SERVICES LIMITED,Maps Financial Services
16816,DOGMATES LTD.,Dogmates
16817,CD TRAINING & RECRUITMENT LIMITED,Cd Training & Recruitment
16818,METERIX LIMITED,Meterix
16819,HEALY SIMPSON LIMITED,Healy Simpson
16820,MARK ONE CONSULTANTS LIMITED,Mark One Consultants
16821,CHINESE MEDICINE CLINIC LIMITED,Chinese Medicine Clinic
16822,LITTLE PEEPS NURSERY LIMITED,Little Peeps Nursery
16823,HEDERA HOUSE LIMITED,Hedera House
16824,BREAKAWAY TRAVEL LIMITED,Breakaway Travel
16825,CLEBRAN (BANGOR) LIMITED,Clebran
16826,ANTHONY HOLLADAY (ELECTRICAL CONTRACTOR) LIMITED,Anthony Holladay
16827,DUTY PLANNING CONSULTING LIMITED,Duty Planning Consulting
16828,BRASS FOUNDRY CASTINGS LIMITED,Brass Foundry Castings
16829,C H PROPERTY SERVICES LIMITED,C H Property Services
16830,JULIANS TAXIS LTD,Julians Taxis
16831,INTERSHORE FIDUCIARIES LIMITED,Intershore Fiduciaries
16832,CHRISTAL SUPPLIES LTD,Christal Supplies
16833,TOTTEN & CONNOLLY LIMITED,Totten & Connolly
16834,CARE UK HEALTH & SOCIAL CARE LIMITED,Care Uk Health & Social Care
16835,ASHES MENSWEAR (HOLDINGS) LIMITED,Ashes Menswear
16836,DUNCRUE FOOD PROCESSORS LIMITED,Duncrue Food Processors
16837,POWERAIR LIMITED,Powerair
16838,HIRE CLASS LIMITED,Hire Class
16839,ROBSON PRINT LIMITED,Robson Print
16840,HILLREED HOLDINGS LIMITED,Hillreed Holdings
16841,CORNERSTONE GARAGE LIMITED,Cornerstone Garage
16842,CANTON EXPRESS LIMITED,Canton Express
16843,BILAL HAJJ & UMRAH TOURS LTD,Bilal Hajj & Umrah Tours
16844,LONDON PREMIER HOTELS LIMITED,London Premier Hotels
16845,MB DONAGHY LTD,Mb Donaghy
16846,DOMESTIC & COMMERCIAL DRAIN SERVICES LTD,Domestic & Commercial Drain Services
16847,KT DEVELOPMENTS LIMITED,Kt Developments
16848,ASBESTOS MANAGEMENT COMPANY (IRELAND) LIMITED,Asbestos Management
16849,KIDSHOOTS LIMITED,Kidshoots
16850,BLUEBELL LODGE PRIVATE DAY NURSERY LIMITED,Bluebell Lodge Private Day Nursery
16851,AFA (NI) LIMITED,Afa
16852,DAVID COE ENTERPRISES LIMITED,David Coe Enterprises
16853,IMPACKED (PRINT AND PACKAGING) LIMITED,Impacked
16854,CAMBRIDGE HOUSEHUNT LIMITED,Cambridge Househunt
16855,CLARENBRIDGE LIMITED,Clarenbridge
16856,LOTHERTON FARM LIMITED,Lotherton Farm
16857,IT'S MY PARTY LTD,It'S My Party
16858,FACE-FIT LIMITED,Face-Fit
16859,COASTAL WINDOWS LIMITED,Coastal Windows
16860,GREENFIELD ACCOUNTANTS LIMITED,Greenfield Accountants
16861,DODGSON & CO LIMITED,Dodgson
16862,AUCTUS CAPITAL LIMITED,Auctus Capital
16863,GRACECHURCH UTG NO. 166 LIMITED,Gracechurch Utg No. 166
16864,FOXBYTE LIMITED,Foxbyte
16865,IBEX SOLUTIONS LIMITED,Ibex Solutions
16866,HILL PROJECT SERVICES LTD,Hill Project Services
16867,ATLANTIC EXEC SEARCH LTD,Atlantic Exec Search
16868,LEWIS TOWER CRANE SERVICES LTD,Lewis Tower Crane Services
16869,SANDY ARTHUR COACH HIRE LIMITED,Sandy Arthur Coach Hire
16870,FIELD & CO ROOFING LIMITED,Field & Co Roofing
16871,GNRS EXPRESS CONVENIENCE LTD,Gnrs Express Convenience
16872,FOURSTAGE ENVIRONMENTAL LIMITED,Fourstage Environmental
16873,EXEMPLAR HOLDINGS LIMITED,Exemplar Holdings
16874,KMJ PROPERTY MAINTENANCE LIMITED,Kmj Property Maintenance
16875,JOHN ROBERTS HIRE LIMITED,John Roberts Hire
16876,NATURAL WOOD KITCHENS LTD,Natural Wood Kitchens
16877,HENSMANS SALONS LIMITED,Hensmans Salons
16878,INCOPA LIMITED,Incopa
16879,HUNTON ENGINEERING DESIGN LIMITED,Hunton Engineering Design
16880,DEVINE TECHNOLOGY LIMITED,Devine Technology
16881,J MCCLIMOND ENGINEERING LTD,J Mcclimond Engineering
16882,ENGINEERING PADDLER DESIGNS LIMITED,Engineering Paddler Designs
16883,GRACECHURCH UTG NO. 239 LIMITED,Gracechurch Utg No. 239
16884,DFKE (HEREFORD) LIMITED,Dfke
16885,AGE UK DEVON,Age Uk Devon
16886,COMPUTING EXCELLENCE LTD,Computing Excellence
16887,CAFFE JAVA LIMITED,Caffe Java
16888,BUSH & WILTON LIMITED,Bush & Wilton
16889,SENSOR-WORKS LTD,Sensor-Works
16890,JAMBIKA LIMITED,Jambika
16891,GECKO TECHNOLOGIES LIMITED,Gecko Technologies
16892,EAGLE ONE FOC HOLDINGS LIMITED,Eagle One Foc Holdings
16893,GEOFF PAFFETT PERSONAL FINANCIAL PLANNING SERVICES LIMITED,Geoff Paffett Personal Financial Planning Services
16894,STAY SAFE GLOBAL LTD,Stay Safe Global
16895,AVANTECH SYSTEMS LIMITED,Avantech Systems
16896,PUNTER SOUTHALL ASPIRE PENSION TRUST COMPANY LIMITED,Punter Southall Aspire Pension Trust
16897,SALON SPENCER LTD,Salon Spencer
16898,UK DRONE SURVEYS LIMITED,Uk Drone Surveys
16899,TJB BUILDING SOLUTIONS LIMITED,Tjb Building Solutions
16900,QRYPTON LTD,Qrypton
16901,CHARLIER CONSTRUCTION LIMITED,Charlier Construction
16902,RIPLEYS AUTO SPARES LIMITED,Ripleys Auto Spares
16903,N SETHIA GROUP LTD,N Sethia Group
16904,SPECIALIST HOSE SUPPLIES LIMITED,Specialist Hose Supplies
16905,RAYDAN LIMITED,Raydan
16906,MARK SCOTT CONSTRUCTIONS LIMITED,Mark Scott Constructions
16907,MAURER (U.K.) LIMITED,Maurer
16908,R K TRANSPORT SERVICES LIMITED,R K Transport Services
16909,PENNINE SHOOTING SPORTS ASSOCIATION LIMITED,Pennine Shooting Sports Association
16910,SCOTTKIRKBY DESIGN ASSOCIATES LIMITED,Scottkirkby Design Associates
16911,BELLA REALISATIONS 1 LIMITED,Bella Realisations 1
16912,THE FEMALE HEALTH COMPANY LIMITED,The Female Health
16913,DHL INTERNATIONAL (UK) LIMITED,Dhl International
16914,NOTCOI BUSINESS SOLUTIONS LIMITED,Notcoi Business Solutions
16915,WILGO FREIGHT HOLDINGS LIMITED,Wilgo Freight Holdings
16916,RELIC DESIGNS LIMITED,Relic Designs
16917,SENGATE LIMITED,Sengate
16918,MICROBLADE LIMITED,Microblade
16919,MORRIS BYWATER LIMITED,Morris Bywater
16920,DALE FENCING LIMITED,Dale Fencing
16921,I & B JONES LIMITED,I & B Jones
16922,J.K. & J. IRELAND (COTTAGE HOTEL) LIMITED,J.K. & J. Ireland
16923,SPRINGS ESTATES (LINCOLNSHIRE) LTD,Springs Estates
16924,DIAL VEHICLE MANAGEMENT SERVICES LIMITED,Dial Vehicle Management Services
16925,PLOYFLOW LIMITED,Ployflow
16926,SHELL SEEKERS LIMITED,Shell Seekers
16927,SIMARA CONSULTANCY SERVICES LIMITED,Simara Consultancy Services
16928,THE PR POINT (UK) LIMITED,The Pr Point
16929,STS PROPERTIES LIMITED,Sts Properties
16930,MELLER HOLDINGS LIMITED,Meller Holdings
16931,ROLAND (U.K.) LIMITED,Roland
16932,STIMPSON (HEATING ENGINEERS) LIMITED,Stimpson
16933,JAYVILLE ENGINEERING LIMITED,Jayville Engineering
16934,RICHMOND FELLOWSHIP(THE),Richmond Fellowship
16935,GETINGE PRODUCTION UK LIMITED,Getinge Production
16936,CROPPER'S GARAGE (LIVERPOOL) LIMITED,Cropper'S Garage
16937,TRANSOFT GROUP LIMITED,Transoft Group
16938,TAYLOR MAXWELL (INTERNATIONAL) LIMITED,Taylor Maxwell
16939,S. PERVIZ & CO. LIMITED,S. Perviz
16940,SCOOP LEISURE CLOTHING LIMITED,Scoop Leisure Clothing
16941,IVOR WEBB AND SON LIMITED,Ivor Webb And Son
16942,METAL SURGERY (WESSEX) LIMITED,Metal Surgery
16943,J.& F.GENEVER(BUILDERS)LIMITED,J.& F.Geneverlimited
16944,PLURITRADE LIMITED,Pluritrade
16945,PEAVEY ELECTRONICS LIMITED,Peavey Electronics
16946,RAMSEY OUTSIDE CATERING CO. LIMITED,Ramsey Outside Catering
16947,ARCHER AND SMITH LIMITED,Archer And Smith
16948,NORBECK BASKETWARE LIMITED,Norbeck Basketware
16949,R.& B.STAR(ELECTRICAL WHOLESALERS)LIMITED,R.& B.Starlimited
16950,MEADOW LANE UK LIMITED,Meadow Lane
16951,VANSKY LIMITED,Vansky
16952,SMITH & LATIMER LIMITED,Smith & Latimer
16953,TUNNEL TYRES LIMITED,Tunnel Tyres
16954,CLEVELAND SCIENTIFIC INSTITUTION,Cleveland Scientific Institution
16955,NO. 36 LTD,No. 36
16956,NEDIS (UK) LIMITED,Nedis
16957,LUNE INDUSTRIAL ESTATE LIMITED,Lune Industrial Estate
16958,JACK PENNINGTON LIMITED,Jack Pennington
16959,SUCCESSFUL SOLUTIONS CONSULTANCY LIMITED,Successful Solutions Consultancy
16960,ELUCEO LIMITED,Eluceo
16961,KLEVACO LIMITED,Klevaco
16962,TIMEC 1306 LIMITED,Timec 1306
16963,EUNICARE LIMITED,Eunicare
16964,COMINCO RESOURCES (UK) LIMITED,Cominco Resources
16965,FIGAHO LTD,Figaho
16966,BARRY'S MOT CENTRE LIMITED,Barry'S Mot Centre
16967,MIDLAND CIVIL & GROUNDWORK LTD,Midland Civil & Groundwork
16968,ALEX ELECTRICAL CONTRACTS LIMITED,Alex Electrical Contracts
16969,EQUITURE REAL ESTATE CAPITAL LIMITED,Equiture Real Estate Capital
16970,COLD TECH (SERVICES) LTD,Cold Tech
16971,GALLAGHER HOLDINGS THREE (UK) LTD,Gallagher Holdings Three
16972,PYPE HAYES VETERINARY CENTRE LIMITED,Pype Hayes Veterinary Centre
16973,AVATAR SPRING LIMITED,Avatar Spring
16974,PENDLE BLINDS LTD,Pendle Blinds
16975,STANFIELD GLASS LIMITED,Stanfield Glass
16976,ARUN PROPERTY COMPANY LIMITED,Arun Property
16977,P T WIRE EROSION LIMITED,P T Wire Erosion
16978,RB ROOFING LTD,Rb Roofing
16979,PROMET CONSULTING LTD,Promet Consulting
16980,POPLAR AND LIMEHOUSE HEALTH AND WELLBEING NETWORK CIC,Poplar And Limehouse Health And Wellbeing Network
16981,JAYNE COMMERCIAL LIMITED,Jayne Commercial
16982,ENGAGE SUPPORT LIMITED,Engage Support
16983,CENTRAL STOVES LIMITED,Central Stoves
16984,HANSELL DREW & CO LIMITED,Hansell Drew
16985,JAMES WINBY FURNITURE LIMITED,James Winby Furniture
16986,I'M SURE LTD,I'M Sure
16987,WELFOUND LIMITED,Welfound
16988,THE HIP HOP CHIP SHOP LTD,The Hip Hop Chip Shop
16989,SHIRES GAS SERVICES LIMITED,Shires Gas Services
16990,FOUR SEASONS CLEANING SUPPLIES LTD,Four Seasons Cleaning Supplies
16991,OAKMINSTER (SW) LIMITED,Oakminster
16992,F.C. FROST LIMITED,F.C. Frost
16993,C & M TRACTORS LIMITED,C & M Tractors
16994,REGENT ENVELOPES LIMITED,Regent Envelopes
16995,WESTERN MORTGAGE SERVICES LIMITED,Western Mortgage Services
16996,BODYCOTE HEAT TREATMENTS LIMITED,Bodycote Heat Treatments
16997,GROUP FOUR GLASSFIBRE CO. LIMITED,Group Four Glassfibre
16998,VARITECH TOOLS LIMITED,Varitech Tools
16999,IMPULSE BUSINESS SOLUTIONS LIMITED,Impulse Business Solutions
17000,INTERNATIONAL REGISTRIES (U.K.) LIMITED,International Registries
17001,LA TRATTORIA (SHREWSBURY) LIMITED,La Trattoria
17002,TRAVERS SMITH LIMITED,Travers Smith
17003,CLIFBREAKERS LIMITED,Clifbreakers
17004,DIG FOR FIRE LIMITED,Dig For Fire
17005,NORDSON (U.K.) LIMITED,Nordson
17006,AUTO COMPONENTS (WESTBURY) LIMITED,Auto Components
17007,SHELL U.K. NORTH ATLANTIC LIMITED,Shell U.K. North Atlantic
17008,CLESTRA LIMITED,Clestra
17009,TAFF VALE COACHES LIMITED,Taff Vale Coaches
17010,STEPHEN M GODBER FUNERALS LIMITED,Stephen M Godber Funerals
17011,BURN AND WARNE LIMITED,Burn And Warne
17012,LINE-A-TONE (PRESTON) LIMITED,Line-A-Tone
17013,MATERIAL HANDLING DEVICES LIMITED,Material Handling Devices
17014,MERIT PLASTICS LIMITED,Merit Plastics
17015,L & J ROWLES LIMITED,L & J Rowles
17016,BP CHEMICALS INVESTMENTS LIMITED,Bp Chemicals Investments
17017,RMCJ ESTATES LIMITED,Rmcj Estates
17018,MITRE HOUSE LIMITED,Mitre House
17019,OMNIFARIOUS LIMITED,Omnifarious
17020,PLANNING DESIGN PARTNERSHIP LIMITED,Planning Design Partnership
17021,LACEY PLANT HIRE LIMITED,Lacey Plant Hire
17022,ROWECON SYSTEMS LIMITED,Rowecon Systems
17023,NIKO EXTRUSIONS LIMITED,Niko Extrusions
